id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
91439,A Formosa 2 -The red sofa room,185209,João,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14908,-8.60905,Private room,46,2,179,2022-08-26,1.29,7,286,34,6995/AL
41339,Porto city flat near the sea,180050,Paula,PORTO,Lordelo do Ouro e Massarelos,41.1501,-8.66035,Entire home/apt,85,2,20,2022-07-28,0.18,1,66,3,29049/AL
94701,Big TERRACE APARTMENT / city center,505473,Gundega & Antonio,PORTO,Bonfim,41.14707,-8.60109,Entire home/apt,68,5,287,2022-08-07,2.08,1,329,2,85541/AL
55111,Fontielas Houses |Floor1 in House with shared Pool,259711,Isabel E João,PAREDES,Cete,41.17481,-8.35362,Entire home/apt,85,3,15,2022-08-29,0.17,3,0,1,7563/AL
96394,Boat Blue Days,511741,Manuel,VILA NOVA DE GAIA,Canidelo,41.1411,-8.65148,Entire home/apt,214,1,10,2022-06-13,0.14,1,364,2,90/2015
73828,Fontielas Houses |Floor0 in House with shared Pool,259711,Isabel E João,PAREDES,Cete,41.17449,-8.35426,Entire home/apt,89,5,12,2022-08-22,0.13,3,0,4,7563/AL
100521,casa de praia,528145,Isabel Morgado,VILA NOVA DE GAIA,Gulpilhares e Valadares,41.07378,-8.65368,Private room,80,1,0,,,1,365,0,
100661,A Formosa 3 - Little Vintage Nook,185209,João,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14908,-8.60905,Private room,45,2,104,2022-08-30,0.76,7,281,30,6995/AL
86388,A Formosa - a nest made for two,185209,João,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14918,-8.60922,Private room,47,2,178,2022-08-29,1.28,7,240,41,6995/AL
104045,Aida Duplex Apartment | 5 Bedrooms,541968,Aida,PORTO,Bonfim,41.15877,-8.59893,Entire home/apt,196,4,275,2022-08-24,2.03,1,341,14,11205/AL
87873,Oporto Apartment Triplex,480980,Paula,PORTO,Bonfim,41.15786,-8.60427,Entire home/apt,87,3,221,2022-08-30,1.76,3,286,35,634/AL
105347,Minha casinha / My little house,544104,Manuel,VILA NOVA DE GAIA,Oliveira do Douro,41.12961,-8.58427,Entire home/apt,67,4,137,2022-09-03,1.21,1,184,15,
108153,Rooms-Piscina-Praia,559704,Armando,ESPINHO,Anta e Guetim,40.99902,-8.6163,Private room,60,2,8,2022-08-15,0.11,3,359,2,10224
5409513,SeaBreezeApartment-Wonderfull 1stline at the beach,28042320,Maria Angelina,VILA DO CONDE,Vila Chã,41.30309,-8.7371,Entire home/apt,75,7,13,2018-08-04,0.15,1,352,0,34075/AL
538066,PENSÃO FAVORITA,2643396,Ema,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15002,-8.61969,Private room,100,2,1,2019-06-09,0.03,11,255,0,5525/AL
538069,PENSÃO FAVORITA,2643396,Ema,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15052,-8.62127,Private room,100,2,0,,,11,322,0,5525/AL
113586,1 Bedroom Vintage Apartment 60sqm Clérigos,577638,César,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14602,-8.61447,Entire home/apt,52,4,220,2022-08-24,1.61,1,158,23,5380/AL
122362,Private house in Oporto - Portugal,613350,Olga,PORTO,Paranhos,41.17563,-8.62323,Entire home/apt,77,2,75,2022-07-26,0.76,1,314,12,17076/AL
565255,Oporto Center Private Room1,480980,Paula,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15396,-8.60421,Private room,67,3,311,2022-09-10,2.51,3,323,49,55003/AL
125872,B&B - Luxury Suite with HQ private bath,625145,Manuel & Family,VILA NOVA DE GAIA,Mafamude e Vilar do Paraíso,41.12424,-8.61346,Private room,68,2,238,2022-08-18,1.74,6,365,13,Exempt
571382,Porto Leça Beach Flat in Matosinhos,2812007,João,MATOSINHOS,Matosinhos e Leça da Palmeira,41.1898,-8.6983,Entire home/apt,42,3,226,2022-08-24,1.91,6,245,25,33782/AL
127208,B & B  Room Yoga Garden's Place,630252,Aurora,PORTO,Campanhã,41.1546,-8.58985,Private room,32,2,484,2022-09-11,3.65,1,247,28,34971/AL
573687,"Dream corner by waterfalls, 20 min to Porto- Ap3",680010,Liana,PAREDES,Parada de Todeia,41.158642,-8.378835,Entire home/apt,91,2,23,2019-09-12,0.21,11,339,0,25639/AL
128557,B&B-High Quality room 10min. walk from WineCellars,625145,Manuel & Family,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.12557,-8.61512,Private room,33,1,454,2022-09-06,3.32,6,335,74,Exempt
131994,Studio - Casa do Pinheiro,648963,António & Irene,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14993,-8.6151,Entire home/apt,71,2,201,2022-09-10,1.47,2,171,46,6184/AL
577242,Big House Near Porto and beachs,2838878,Dulce,SANTA MARIA DA FEIRA,Argoncilhe,41.02448,-8.53994,Entire home/apt,126,5,56,2021-07-24,0.47,1,233,0,
579745,Airy & Modern Beachfront Apartment,2851799,Maria C,PORTO,"Aldoar, Foz do Douro e Nevogilde",41.15384,-8.67886,Entire home/apt,95,2,299,2022-09-08,2.42,1,193,19,20531/AL
133099,Duplex Apartment - Casa do Pinheiro,648963,António & Irene,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1506,-8.61391,Entire home/apt,77,2,163,2022-09-06,1.20,2,158,37,6184/AL
581356,"Toc Toc Studio, Fun Bijou Retreat in a Historic Building",2712090,Hugo,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14443,-8.61755,Entire home/apt,85,2,466,2022-09-03,3.78,2,319,53,30100/AL
133803,"Sun, sea & city.",489762,Sun Sea City,VILA NOVA DE GAIA,Canidelo,41.1277,-8.66321,Entire home/apt,146,3,177,2020-10-25,2.30,1,1,0,80653
581402,Big private bedroom with private WC,2861881,Sofia & Jorge,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14849,-8.60406,Private room,51,1,35,2019-07-31,0.28,6,0,0,AL 52876
134570,Luxury Beachfront Penthouse  Apartment with Pools,660293,Natacha,VILA NOVA DE GAIA,Madalena,41.10432,-8.66025,Entire home/apt,226,2,91,2022-09-04,0.72,1,351,16,2191/AL
139425,"Cozy flat- air cond, rooftop terrace, free parking",680010,Liana,PORTO,Bonfim,41.14622,-8.59423,Entire home/apt,59,2,212,2022-08-26,1.56,11,323,25,4833/AL
582405,Minimalist House T3 downtown Porto,2868260,Henrique,PORTO,Bonfim,41.15819,-8.60128,Entire home/apt,65,5,140,2022-08-31,1.15,2,154,2,18642/AL
141255,Yellow House -  Casa CF,663708,Gabriela,MATOSINHOS,São Mamede de Infesta e Senhora da Hora,41.19279,-8.66029,Private room,83,3,1,2022-07-08,0.44,2,108,1,96640/AL
587499,Oporto Downtown Loft - Clérigos,2897689,Joana,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1474,-8.61528,Entire home/apt,101,2,435,2020-03-11,3.56,1,360,0,6209/AL
155127,Apartment Douro river 5 km to Porto,745984,André,GONDOMAR,"Gondomar (São Cosme), Valbom e Jovim",41.12465,-8.54445,Entire home/apt,80,2,108,2022-09-08,0.85,2,356,26,
598806,Cozy T1 Appartment in Porto Center,2962322,Catherine,PORTO,Bonfim,41.14703,-8.59516,Entire home/apt,69,3,58,2022-08-28,0.47,1,80,12,
155723,House with EscolaSuperiorEnferma,748789,Margarida M.,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15889,-8.61002,Entire home/apt,80,3,6,2017-08-13,0.05,1,0,0,
600573,Cozy apartment close metro & beach,2969815,Salomé,MATOSINHOS,Matosinhos e Leça da Palmeira,41.180832,-8.680304,Entire home/apt,69,3,47,2022-09-03,0.42,2,82,11,33393/AL
165699,Oliveira`s Place,789887,Bravo` S,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14822,-8.61476,Entire home/apt,600,2,102,2020-02-28,1.13,2,216,0,84715/AL
604702,Casa da Paz | Clean&Safe Vintage House with garden,2993425,"Maria, Gabriela & Tiago",PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15667,-8.62764,Entire home/apt,126,2,353,2022-09-04,2.89,1,286,37,34224/AL
169321,Espaçoso e luminoso Apartamento perto de belas artes I,806826,Miguel,PORTO,Bonfim,41.14536,-8.59792,Entire home/apt,147,3,176,2022-08-26,1.34,4,172,34,5458/AL
